node1,node2,tstart,tend,line
Paddington (H&C Line)-Underground,Edgware Road (Circle Line),450,453,Hammersmith & City line to Edgware Road (Circle Line)
Paddington (H&C Line)-Underground,Edgware Road (Circle Line),501,504,Hammersmith & City line to Edgware Road (Circle Line)
Paddington (H&C Line)-Underground,Edgware Road (Circle Line),505,508,Hammersmith & City line to Edgware Road (Circle Line)
Paddington (H&C Line)-Underground,Edgware Road (Circle Line),510,513,Hammersmith & City line to Edgware Road (Circle Line)
Paddington (H&C Line)-Underground,Edgware Road (Circle Line),533,536,Hammersmith & City line to Edgware Road (Circle Line)
Paddington (H&C Line)-Underground,Edgware Road (Circle Line),549,552,Hammersmith & City line to Edgware Road (Circle Line)
Paddington (H&C Line)-Underground,Edgware Road (Circle Line),559,562,Hammersmith & City line to Edgware Road (Circle Line)
Paddington (H&C Line)-Underground,Edgware Road (Circle Line),629,632,Hammersmith & City line to Edgware Road (Circle Line)
Paddington (H&C Line)-Underground,Edgware Road (Circle Line),639,642,Hammersmith & City line to Edgware Road (Circle Line)
Paddington (H&C Line)-Underground,Edgware Road (Circle Line),649,652,Hammersmith & City line to Edgware Road (Circle Line)
Paddington (H&C Line)-Underground,Edgware Road (Circle Line),658,661,Hammersmith & City line to Edgware Road (Circle Line)
Paddington (H&C Line)-Underground,Edgware Road (Circle Line),708,711,Hammersmith & City line to Edgware Road (Circle Line)
Paddington (H&C Line)-Underground,Edgware Road (Circle Line),718,721,Hammersmith & City line to Edgware Road (Circle Line)
Paddington (H&C Line)-Underground,Edgware Road (Circle Line),728,731,Hammersmith & City line to Edgware Road (Circle Line)
Paddington (H&C Line)-Underground,Edgware Road (Circle Line),738,741,Hammersmith & City line to Edgware Road (Circle Line)
Paddington (H&C Line)-Underground,Edgware Road (Circle Line),747,750,Hammersmith & City line to Edgware Road (Circle Line)
Paddington (H&C Line)-Underground,Edgware Road (Circle Line),755,758,Hammersmith & City line to Edgware Road (Circle Line)
Paddington (H&C Line)-Underground,Edgware Road (Circle Line),805,808,Hammersmith & City line to Edgware Road (Circle Line)
Paddington (H&C Line)-Underground,Edgware Road (Circle Line),815,818,Hammersmith & City line to Edgware Road (Circle Line)
Paddington (H&C Line)-Underground,Edgware Road (Circle Line),825,828,Hammersmith & City line to Edgware Road (Circle Line)
Paddington (H&C Line)-Underground,Edgware Road (Circle Line),835,838,Hammersmith & City line to Edgware Road (Circle Line)
Paddington (H&C Line)-Underground,Edgware Road (Circle Line),845,848,Hammersmith & City line to Edgware Road (Circle Line)
Paddington (H&C Line)-Underground,Edgware Road (Circle Line),855,858,Hammersmith & City line to Edgware Road (Circle Line)
Paddington (H&C Line)-Underground,Edgware Road (Circle Line),904,907,Hammersmith & City line to Edgware Road (Circle Line)
Paddington (H&C Line)-Underground,Edgware Road (Circle Line),914,917,Hammersmith & City line to Edgware Road (Circle Line)
Paddington (H&C Line)-Underground,Edgware Road (Circle Line),924,927,Hammersmith & City line to Edgware Road (Circle Line)
Paddington (H&C Line)-Underground,Edgware Road (Circle Line),935,938,Hammersmith & City line to Edgware Road (Circle Line)
Paddington (H&C Line)-Underground,Edgware Road (Circle Line),945,948,Hammersmith & City line to Edgware Road (Circle Line)
Paddington (H&C Line)-Underground,Edgware Road (Circle Line),955,958,Hammersmith & City line to Edgware Road (Circle Line)
Paddington (H&C Line)-Underground,Edgware Road (Circle Line),1007,1010,Hammersmith & City line to Edgware Road (Circle Line)
Paddington (H&C Line)-Underground,Edgware Road (Circle Line),1018,1021,Hammersmith & City line to Edgware Road (Circle Line)
Paddington (H&C Line)-Underground,Edgware Road (Circle Line),1028,1031,Hammersmith & City line to Edgware Road (Circle Line)
Paddington (H&C Line)-Underground,Edgware Road (Circle Line),1038,1041,Hammersmith & City line to Edgware Road (Circle Line)
Paddington (H&C Line)-Underground,Edgware Road (Circle Line),1048,1051,Hammersmith & City line to Edgware Road (Circle Line)
Paddington (H&C Line)-Underground,Edgware Road (Circle Line),1058,1061,Hammersmith & City line to Edgware Road (Circle Line)
Paddington (H&C Line)-Underground,Edgware Road (Circle Line),1108,1111,Hammersmith & City line to Edgware Road (Circle Line)
Paddington (H&C Line)-Underground,Edgware Road (Circle Line),1117,1120,Hammersmith & City line to Edgware Road (Circle Line)
Paddington (H&C Line)-Underground,Edgware Road (Circle Line),1121,1124,Hammersmith & City line to Edgware Road (Circle Line)
Paddington (H&C Line)-Underground,Edgware Road (Circle Line),1129,1132,Hammersmith & City line to Edgware Road (Circle Line)
Paddington (H&C Line)-Underground,Edgware Road (Circle Line),1139,1142,Hammersmith & City line to Edgware Road (Circle Line)
Paddington (H&C Line)-Underground,Edgware Road (Circle Line),1149,1152,Hammersmith & City line to Edgware Road (Circle Line)
Paddington (H&C Line)-Underground,Edgware Road (Circle Line),1159,1162,Hammersmith & City line to Edgware Road (Circle Line)
Paddington (H&C Line)-Underground,Edgware Road (Circle Line),1209,1212,Hammersmith & City line to Edgware Road (Circle Line)
Paddington (H&C Line)-Underground,Edgware Road (Circle Line),1219,1222,Hammersmith & City line to Edgware Road (Circle Line)
Paddington (H&C Line)-Underground,Edgware Road (Circle Line),1229,1232,Hammersmith & City line to Edgware Road (Circle Line)
Paddington (H&C Line)-Underground,Edgware Road (Circle Line),1239,1242,Hammersmith & City line to Edgware Road (Circle Line)
Paddington (H&C Line)-Underground,Edgware Road (Circle Line),1249,1252,Hammersmith & City line to Edgware Road (Circle Line)
Paddington (H&C Line)-Underground,Edgware Road (Circle Line),1259,1262,Hammersmith & City line to Edgware Road (Circle Line)
Paddington (H&C Line)-Underground,Edgware Road (Circle Line),1309,1312,Hammersmith & City line to Edgware Road (Circle Line)
Paddington (H&C Line)-Underground,Edgware Road (Circle Line),1319,1322,Hammersmith & City line to Edgware Road (Circle Line)
Paddington (H&C Line)-Underground,Edgware Road (Circle Line),1330,1333,Hammersmith & City line to Edgware Road (Circle Line)
Paddington (H&C Line)-Underground,Edgware Road (Circle Line),1339,1342,Hammersmith & City line to Edgware Road (Circle Line)
Paddington (H&C Line)-Underground,Edgware Road (Circle Line),1349,1352,Hammersmith & City line to Edgware Road (Circle Line)
Paddington (H&C Line)-Underground,Edgware Road (Circle Line),1359,1362,Hammersmith & City line to Edgware Road (Circle Line)
Paddington (H&C Line)-Underground,Edgware Road (Circle Line),1410,1413,Hammersmith & City line to Edgware Road (Circle Line)
Paddington (H&C Line)-Underground,Edgware Road (Circle Line),1419,1422,Hammersmith & City line to Edgware Road (Circle Line)
Paddington (H&C Line)-Underground,Edgware Road (Circle Line),1429,1432,Hammersmith & City line to Edgware Road (Circle Line)
Paddington (H&C Line)-Underground,Edgware Road (Circle Line),1439,1442,Hammersmith & City line to Edgware Road (Circle Line)
Paddington (H&C Line)-Underground,Edgware Road (Circle Line),1449,1452,Hammersmith & City line to Edgware Road (Circle Line)
Paddington (H&C Line)-Underground,Edgware Road (Circle Line),1459,1462,Hammersmith & City line to Edgware Road (Circle Line)
Paddington (H&C Line)-Underground,Edgware Road (Circle Line),1509,1512,Hammersmith & City line to Edgware Road (Circle Line)
Paddington (H&C Line)-Underground,Edgware Road (Circle Line),1519,1522,Hammersmith & City line to Edgware Road (Circle Line)
Paddington (H&C Line)-Underground,Edgware Road (Circle Line),1529,1532,Hammersmith & City line to Edgware Road (Circle Line)
Paddington (H&C Line)-Underground,Edgware Road (Circle Line),1539,1542,Hammersmith & City line to Edgware Road (Circle Line)
Paddington (H&C Line)-Underground,Edgware Road (Circle Line),1549,1552,Hammersmith & City line to Edgware Road (Circle Line)
Paddington (H&C Line)-Underground,Edgware Road (Circle Line),1557,1560,Hammersmith & City line to Edgware Road (Circle Line)
Paddington (H&C Line)-Underground,Edgware Road (Circle Line),1608,1611,Hammersmith & City line to Edgware Road (Circle Line)
Paddington (H&C Line)-Underground,Edgware Road (Circle Line),1618,1621,Hammersmith & City line to Edgware Road (Circle Line)
Paddington (H&C Line)-Underground,Edgware Road (Circle Line),1628,1631,Hammersmith & City line to Edgware Road (Circle Line)
Paddington (H&C Line)-Underground,Edgware Road (Circle Line),1637,1640,Hammersmith & City line to Edgware Road (Circle Line)
Paddington (H&C Line)-Underground,Edgware Road (Circle Line),1645,1648,Hammersmith & City line to Edgware Road (Circle Line)
Paddington (H&C Line)-Underground,Edgware Road (Circle Line),1655,1658,Hammersmith & City line to Edgware Road (Circle Line)
Paddington (H&C Line)-Underground,Edgware Road (Circle Line),1705,1708,Hammersmith & City line to Edgware Road (Circle Line)
