node1,node2,tstart,tend,line
Stepney Green,Whitechapel,518,520,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,537,539,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,540,542,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,543,545,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,553,555,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,559,561,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,602,604,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,608,610,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,618,620,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,626,628,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,637,639,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,648,650,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,657,659,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,706,708,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,715,717,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,724,726,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,736,738,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,744,746,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,753,755,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,805,807,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,817,819,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,823,825,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,834,836,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,845,847,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,854,856,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,905,907,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,918,920,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,926,928,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,937,939,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,946,948,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,953,955,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,1002,1004,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,1013,1015,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,1022,1024,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,1031,1033,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,1042,1044,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,1052,1054,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,1102,1104,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,1112,1114,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,1122,1124,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,1132,1134,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,1142,1144,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,1152,1154,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,1202,1204,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,1212,1214,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,1222,1224,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,1232,1234,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,1242,1244,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,1252,1254,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,1302,1304,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,1312,1314,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,1322,1324,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,1332,1334,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,1342,1344,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,1352,1354,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,1402,1404,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,1412,1414,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,1422,1424,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,1432,1434,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,1441,1443,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,1452,1454,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,1502,1504,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,1512,1514,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,1522,1524,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,1532,1534,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,1537,1539,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,1542,1544,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,1552,1554,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,1601,1603,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,1611,1613,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,1623,1625,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,1634,1636,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,1644,1646,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,1653,1655,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,1706,1708,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,1714,1716,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,1722,1724,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,1735,1737,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,1745,1747,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,1753,1755,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,1804,1806,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,1814,1816,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,1824,1826,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,1834,1836,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,1845,1847,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,1854,1856,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,1903,1905,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,1913,1915,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,1924,1926,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,1933,1935,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,1942,1944,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,1953,1955,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,2001,2003,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,2012,2014,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,2022,2024,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,2032,2034,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,2043,2045,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,2053,2055,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,2102,2104,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,2112,2114,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,2123,2125,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,2132,2134,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,2142,2144,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,2152,2154,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,2202,2204,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,2212,2214,Hammersmith & City line to Whitechapel
