node1,node2,tstart,tend,line
West Ham,Bromley-by-Bow,510,512,Hammersmith & City line to Bromley-by-Bow
West Ham,Bromley-by-Bow,529,531,Hammersmith & City line to Bromley-by-Bow
West Ham,Bromley-by-Bow,532,534,Hammersmith & City line to Bromley-by-Bow
West Ham,Bromley-by-Bow,535,537,Hammersmith & City line to Bromley-by-Bow
West Ham,Bromley-by-Bow,545,547,Hammersmith & City line to Bromley-by-Bow
West Ham,Bromley-by-Bow,551,553,Hammersmith & City line to Bromley-by-Bow
West Ham,Bromley-by-Bow,554,556,Hammersmith & City line to Bromley-by-Bow
West Ham,Bromley-by-Bow,559,561,Hammersmith & City line to Bromley-by-Bow
West Ham,Bromley-by-Bow,609,611,Hammersmith & City line to Bromley-by-Bow
West Ham,Bromley-by-Bow,618,620,Hammersmith & City line to Bromley-by-Bow
West Ham,Bromley-by-Bow,629,631,Hammersmith & City line to Bromley-by-Bow
West Ham,Bromley-by-Bow,639,641,Hammersmith & City line to Bromley-by-Bow
West Ham,Bromley-by-Bow,648,650,Hammersmith & City line to Bromley-by-Bow
West Ham,Bromley-by-Bow,657,659,Hammersmith & City line to Bromley-by-Bow
West Ham,Bromley-by-Bow,706,708,Hammersmith & City line to Bromley-by-Bow
West Ham,Bromley-by-Bow,715,717,Hammersmith & City line to Bromley-by-Bow
West Ham,Bromley-by-Bow,726,728,Hammersmith & City line to Bromley-by-Bow
West Ham,Bromley-by-Bow,735,737,Hammersmith & City line to Bromley-by-Bow
West Ham,Bromley-by-Bow,744,746,Hammersmith & City line to Bromley-by-Bow
West Ham,Bromley-by-Bow,755,757,Hammersmith & City line to Bromley-by-Bow
West Ham,Bromley-by-Bow,808,810,Hammersmith & City line to Bromley-by-Bow
West Ham,Bromley-by-Bow,814,816,Hammersmith & City line to Bromley-by-Bow
West Ham,Bromley-by-Bow,824,826,Hammersmith & City line to Bromley-by-Bow
West Ham,Bromley-by-Bow,836,838,Hammersmith & City line to Bromley-by-Bow
West Ham,Bromley-by-Bow,844,846,Hammersmith & City line to Bromley-by-Bow
West Ham,Bromley-by-Bow,856,858,Hammersmith & City line to Bromley-by-Bow
West Ham,Bromley-by-Bow,909,911,Hammersmith & City line to Bromley-by-Bow
West Ham,Bromley-by-Bow,917,919,Hammersmith & City line to Bromley-by-Bow
West Ham,Bromley-by-Bow,928,930,Hammersmith & City line to Bromley-by-Bow
West Ham,Bromley-by-Bow,937,939,Hammersmith & City line to Bromley-by-Bow
West Ham,Bromley-by-Bow,944,946,Hammersmith & City line to Bromley-by-Bow
West Ham,Bromley-by-Bow,954,956,Hammersmith & City line to Bromley-by-Bow
West Ham,Bromley-by-Bow,1004,1006,Hammersmith & City line to Bromley-by-Bow
West Ham,Bromley-by-Bow,1014,1016,Hammersmith & City line to Bromley-by-Bow
West Ham,Bromley-by-Bow,1023,1025,Hammersmith & City line to Bromley-by-Bow
West Ham,Bromley-by-Bow,1033,1035,Hammersmith & City line to Bromley-by-Bow
West Ham,Bromley-by-Bow,1044,1046,Hammersmith & City line to Bromley-by-Bow
West Ham,Bromley-by-Bow,1054,1056,Hammersmith & City line to Bromley-by-Bow
West Ham,Bromley-by-Bow,1104,1106,Hammersmith & City line to Bromley-by-Bow
West Ham,Bromley-by-Bow,1114,1116,Hammersmith & City line to Bromley-by-Bow
West Ham,Bromley-by-Bow,1124,1126,Hammersmith & City line to Bromley-by-Bow
West Ham,Bromley-by-Bow,1134,1136,Hammersmith & City line to Bromley-by-Bow
West Ham,Bromley-by-Bow,1144,1146,Hammersmith & City line to Bromley-by-Bow
West Ham,Bromley-by-Bow,1154,1156,Hammersmith & City line to Bromley-by-Bow
West Ham,Bromley-by-Bow,1204,1206,Hammersmith & City line to Bromley-by-Bow
West Ham,Bromley-by-Bow,1214,1216,Hammersmith & City line to Bromley-by-Bow
West Ham,Bromley-by-Bow,1224,1226,Hammersmith & City line to Bromley-by-Bow
West Ham,Bromley-by-Bow,1234,1236,Hammersmith & City line to Bromley-by-Bow
West Ham,Bromley-by-Bow,1244,1246,Hammersmith & City line to Bromley-by-Bow
West Ham,Bromley-by-Bow,1254,1256,Hammersmith & City line to Bromley-by-Bow
West Ham,Bromley-by-Bow,1304,1306,Hammersmith & City line to Bromley-by-Bow
West Ham,Bromley-by-Bow,1314,1316,Hammersmith & City line to Bromley-by-Bow
West Ham,Bromley-by-Bow,1324,1326,Hammersmith & City line to Bromley-by-Bow
West Ham,Bromley-by-Bow,1334,1336,Hammersmith & City line to Bromley-by-Bow
West Ham,Bromley-by-Bow,1344,1346,Hammersmith & City line to Bromley-by-Bow
West Ham,Bromley-by-Bow,1354,1356,Hammersmith & City line to Bromley-by-Bow
West Ham,Bromley-by-Bow,1404,1406,Hammersmith & City line to Bromley-by-Bow
West Ham,Bromley-by-Bow,1414,1416,Hammersmith & City line to Bromley-by-Bow
West Ham,Bromley-by-Bow,1424,1426,Hammersmith & City line to Bromley-by-Bow
West Ham,Bromley-by-Bow,1433,1435,Hammersmith & City line to Bromley-by-Bow
West Ham,Bromley-by-Bow,1444,1446,Hammersmith & City line to Bromley-by-Bow
West Ham,Bromley-by-Bow,1454,1456,Hammersmith & City line to Bromley-by-Bow
West Ham,Bromley-by-Bow,1504,1506,Hammersmith & City line to Bromley-by-Bow
West Ham,Bromley-by-Bow,1514,1516,Hammersmith & City line to Bromley-by-Bow
West Ham,Bromley-by-Bow,1524,1526,Hammersmith & City line to Bromley-by-Bow
West Ham,Bromley-by-Bow,1529,1531,Hammersmith & City line to Bromley-by-Bow
West Ham,Bromley-by-Bow,1534,1536,Hammersmith & City line to Bromley-by-Bow
West Ham,Bromley-by-Bow,1544,1546,Hammersmith & City line to Bromley-by-Bow
