node1,node2,tstart,tend,line
Paddington (H&C Line)-Underground,Edgware Road (Circle Line),450,453,Hammersmith & City line to Edgware Road (Circle Line)
Paddington (H&C Line)-Underground,Edgware Road (Circle Line),501,504,Hammersmith & City line to Edgware Road (Circle Line)
Paddington (H&C Line)-Underground,Edgware Road (Circle Line),505,508,Hammersmith & City line to Edgware Road (Circle Line)
Moorgate,Liverpool Street,508,510,Hammersmith & City line to Liverpool Street
Paddington (H&C Line)-Underground,Edgware Road (Circle Line),510,513,Hammersmith & City line to Edgware Road (Circle Line)
West Ham,Bromley-by-Bow,510,512,Hammersmith & City line to Bromley-by-Bow
Stepney Green,Whitechapel,518,520,Hammersmith & City line to Whitechapel
Moorgate,Barbican,521,522,Hammersmith & City line to Barbican
Whitechapel,Aldgate East,521,523,Hammersmith & City line to Aldgate East
Aldgate East,Liverpool Street,523,526,Hammersmith & City line to Liverpool Street
Moorgate,Liverpool Street,524,526,Hammersmith & City line to Liverpool Street
Westbourne Park,Ladbroke Grove,525,527,Hammersmith & City line to Ladbroke Grove
Moorgate,Barbican,528,529,Hammersmith & City line to Barbican
Latimer Road,Wood Lane,529,530,Hammersmith & City line to Wood Lane
West Ham,Bromley-by-Bow,529,531,Hammersmith & City line to Bromley-by-Bow
West Ham,Bromley-by-Bow,532,534,Hammersmith & City line to Bromley-by-Bow
Paddington (H&C Line)-Underground,Edgware Road (Circle Line),533,536,Hammersmith & City line to Edgware Road (Circle Line)
West Ham,Bromley-by-Bow,535,537,Hammersmith & City line to Bromley-by-Bow
Westbourne Park,Ladbroke Grove,536,538,Hammersmith & City line to Ladbroke Grove
Stepney Green,Whitechapel,537,539,Hammersmith & City line to Whitechapel
Latimer Road,Wood Lane,539,540,Hammersmith & City line to Wood Lane
Whitechapel,Aldgate East,540,542,Hammersmith & City line to Aldgate East
Stepney Green,Whitechapel,540,542,Hammersmith & City line to Whitechapel
Moorgate,Barbican,541,542,Hammersmith & City line to Barbican
Aldgate East,Liverpool Street,542,545,Hammersmith & City line to Liverpool Street
Whitechapel,Aldgate East,543,545,Hammersmith & City line to Aldgate East
Westbourne Park,Ladbroke Grove,543,545,Hammersmith & City line to Ladbroke Grove
Stepney Green,Whitechapel,543,545,Hammersmith & City line to Whitechapel
Aldgate East,Liverpool Street,545,548,Hammersmith & City line to Liverpool Street
Moorgate,Liverpool Street,545,547,Hammersmith & City line to Liverpool Street
West Ham,Bromley-by-Bow,545,547,Hammersmith & City line to Bromley-by-Bow
Latimer Road,Wood Lane,546,547,Hammersmith & City line to Wood Lane
Whitechapel,Aldgate East,546,548,Hammersmith & City line to Aldgate East
Moorgate,Barbican,547,548,Hammersmith & City line to Barbican
Aldgate East,Liverpool Street,548,551,Hammersmith & City line to Liverpool Street
Paddington (H&C Line)-Underground,Edgware Road (Circle Line),549,552,Hammersmith & City line to Edgware Road (Circle Line)
Westbourne Park,Ladbroke Grove,549,551,Hammersmith & City line to Ladbroke Grove
Moorgate,Barbican,550,551,Hammersmith & City line to Barbican
Moorgate,Liverpool Street,551,553,Hammersmith & City line to Liverpool Street
West Ham,Bromley-by-Bow,551,553,Hammersmith & City line to Bromley-by-Bow
Latimer Road,Wood Lane,552,553,Hammersmith & City line to Wood Lane
Stepney Green,Whitechapel,553,555,Hammersmith & City line to Whitechapel
Moorgate,Barbican,553,554,Hammersmith & City line to Barbican
West Ham,Bromley-by-Bow,554,556,Hammersmith & City line to Bromley-by-Bow
Whitechapel,Aldgate East,556,558,Hammersmith & City line to Aldgate East
Aldgate East,Whitechapel,556,558,Hammersmith & City line to Whitechapel
Aldgate East,Liverpool Street,558,561,Hammersmith & City line to Liverpool Street
Moorgate,Barbican,558,559,Hammersmith & City line to Barbican
Paddington (H&C Line)-Underground,Edgware Road (Circle Line),559,562,Hammersmith & City line to Edgware Road (Circle Line)
West Ham,Bromley-by-Bow,559,561,Hammersmith & City line to Bromley-by-Bow
Stepney Green,Whitechapel,559,561,Hammersmith & City line to Whitechapel
Stepney Green,Whitechapel,602,604,Hammersmith & City line to Whitechapel
Mile End,Bow Road,602,603,Hammersmith & City line to Bow Road
Whitechapel,Aldgate East,602,604,Hammersmith & City line to Aldgate East
Moorgate,Barbican,603,604,Hammersmith & City line to Barbican
Westbourne Park,Ladbroke Grove,603,605,Hammersmith & City line to Ladbroke Grove
Whitechapel,Aldgate East,605,607,Hammersmith & City line to Aldgate East
Aldgate East,Liverpool Street,605,608,Hammersmith & City line to Liverpool Street
Latimer Road,Wood Lane,606,607,Hammersmith & City line to Wood Lane
Stepney Green,Whitechapel,608,610,Hammersmith & City line to Whitechapel
Moorgate,Barbican,608,609,Hammersmith & City line to Barbican
Aldgate East,Liverpool Street,608,611,Hammersmith & City line to Liverpool Street
Westbourne Park,Ladbroke Grove,608,610,Hammersmith & City line to Ladbroke Grove
Moorgate,Liverpool Street,608,610,Hammersmith & City line to Liverpool Street
West Ham,Bromley-by-Bow,609,611,Hammersmith & City line to Bromley-by-Bow
Whitechapel,Aldgate East,610,612,Hammersmith & City line to Aldgate East
Moorgate,Barbican,611,612,Hammersmith & City line to Barbican
Latimer Road,Wood Lane,611,612,Hammersmith & City line to Wood Lane
Westbourne Park,Ladbroke Grove,611,613,Hammersmith & City line to Ladbroke Grove
Aldgate East,Whitechapel,612,614,Hammersmith & City line to Whitechapel
Aldgate East,Liverpool Street,613,616,Hammersmith & City line to Liverpool Street
Latimer Road,Wood Lane,614,615,Hammersmith & City line to Wood Lane
Westbourne Park,Ladbroke Grove,614,616,Hammersmith & City line to Ladbroke Grove
Moorgate,Barbican,614,615,Hammersmith & City line to Barbican
Latimer Road,Wood Lane,617,618,Hammersmith & City line to Wood Lane
Moorgate,Liverpool Street,617,619,Hammersmith & City line to Liverpool Street
Stepney Green,Whitechapel,618,620,Hammersmith & City line to Whitechapel
Moorgate,Barbican,618,619,Hammersmith & City line to Barbican
West Ham,Bromley-by-Bow,618,620,Hammersmith & City line to Bromley-by-Bow
Mile End,Bow Road,619,620,Hammersmith & City line to Bow Road
Westbourne Park,Ladbroke Grove,619,621,Hammersmith & City line to Ladbroke Grove
Whitechapel,Aldgate East,620,622,Hammersmith & City line to Aldgate East
Latimer Road,Wood Lane,622,623,Hammersmith & City line to Wood Lane
Aldgate East,Whitechapel,622,624,Hammersmith & City line to Whitechapel
Aldgate East,Liverpool Street,623,626,Hammersmith & City line to Liverpool Street
Westbourne Park,Ladbroke Grove,624,626,Hammersmith & City line to Ladbroke Grove
Stepney Green,Whitechapel,626,628,Hammersmith & City line to Whitechapel
Latimer Road,Wood Lane,627,628,Hammersmith & City line to Wood Lane
Moorgate,Barbican,628,629,Hammersmith & City line to Barbican
Westbourne Park,Ladbroke Grove,629,631,Hammersmith & City line to Ladbroke Grove
Paddington (H&C Line)-Underground,Edgware Road (Circle Line),629,632,Hammersmith & City line to Edgware Road (Circle Line)
Mile End,Bow Road,629,630,Hammersmith & City line to Bow Road
Whitechapel,Aldgate East,629,631,Hammersmith & City line to Aldgate East
West Ham,Bromley-by-Bow,629,631,Hammersmith & City line to Bromley-by-Bow
Aldgate East,Liverpool Street,631,634,Hammersmith & City line to Liverpool Street
Latimer Road,Wood Lane,632,633,Hammersmith & City line to Wood Lane
Westbourne Park,Ladbroke Grove,632,634,Hammersmith & City line to Ladbroke Grove
Moorgate,Barbican,633,634,Hammersmith & City line to Barbican
Latimer Road,Wood Lane,635,636,Hammersmith & City line to Wood Lane
Westbourne Park,Ladbroke Grove,635,637,Hammersmith & City line to Ladbroke Grove
Stepney Green,Whitechapel,637,639,Hammersmith & City line to Whitechapel
Moorgate,Barbican,638,639,Hammersmith & City line to Barbican
Latimer Road,Wood Lane,638,639,Hammersmith & City line to Wood Lane
West Ham,Bromley-by-Bow,639,641,Hammersmith & City line to Bromley-by-Bow
Westbourne Park,Ladbroke Grove,639,641,Hammersmith & City line to Ladbroke Grove
Paddington (H&C Line)-Underground,Edgware Road (Circle Line),639,642,Hammersmith & City line to Edgware Road (Circle Line)
Whitechapel,Aldgate East,640,642,Hammersmith & City line to Aldgate East
Aldgate East,Liverpool Street,642,645,Hammersmith & City line to Liverpool Street
Latimer Road,Wood Lane,642,643,Hammersmith & City line to Wood Lane
Moorgate,Barbican,647,648,Hammersmith & City line to Barbican
Stepney Green,Whitechapel,648,650,Hammersmith & City line to Whitechapel
Moorgate,Liverpool Street,648,650,Hammersmith & City line to Liverpool Street
West Ham,Bromley-by-Bow,648,650,Hammersmith & City line to Bromley-by-Bow
