node1,node2,tstart,tend,line
Brixton,Stockwell,526,528,Victoria line to Stockwell
Brixton,Stockwell,526,528,Victoria line to Stockwell
Brixton,Stockwell,536,538,Victoria line to Stockwell
Brixton,Stockwell,536,538,Victoria line to Stockwell
Brixton,Stockwell,546,548,Victoria line to Stockwell
Brixton,Stockwell,546,548,Victoria line to Stockwell
Brixton,Stockwell,553,555,Victoria line to Stockwell
Brixton,Stockwell,559,561,Victoria line to Stockwell
Brixton,Stockwell,603,605,Victoria line to Stockwell
Brixton,Stockwell,607,609,Victoria line to Stockwell
Brixton,Stockwell,610,612,Victoria line to Stockwell
Brixton,Stockwell,614,616,Victoria line to Stockwell
Brixton,Stockwell,617,619,Victoria line to Stockwell
Brixton,Stockwell,620,622,Victoria line to Stockwell
Brixton,Stockwell,623,625,Victoria line to Stockwell
Brixton,Stockwell,625,627,Victoria line to Stockwell
Brixton,Stockwell,628,630,Victoria line to Stockwell
Brixton,Stockwell,631,633,Victoria line to Stockwell
Brixton,Stockwell,633,635,Victoria line to Stockwell
Brixton,Stockwell,636,638,Victoria line to Stockwell
Brixton,Stockwell,638,640,Victoria line to Stockwell
Brixton,Stockwell,640,642,Victoria line to Stockwell
Brixton,Stockwell,642,644,Victoria line to Stockwell
Brixton,Stockwell,645,647,Victoria line to Stockwell
Brixton,Stockwell,647,649,Victoria line to Stockwell
Brixton,Stockwell,649,651,Victoria line to Stockwell
Brixton,Stockwell,651,653,Victoria line to Stockwell
Brixton,Stockwell,654,656,Victoria line to Stockwell
Brixton,Stockwell,656,658,Victoria line to Stockwell
Brixton,Stockwell,658,660,Victoria line to Stockwell
Brixton,Stockwell,700,702,Victoria line to Stockwell
Brixton,Stockwell,703,705,Victoria line to Stockwell
Brixton,Stockwell,705,707,Victoria line to Stockwell
Brixton,Stockwell,707,709,Victoria line to Stockwell
Brixton,Stockwell,709,711,Victoria line to Stockwell
Brixton,Stockwell,711,713,Victoria line to Stockwell
Brixton,Stockwell,713,715,Victoria line to Stockwell
Brixton,Stockwell,715,717,Victoria line to Stockwell
Brixton,Stockwell,717,719,Victoria line to Stockwell
Brixton,Stockwell,718,720,Victoria line to Stockwell
Brixton,Stockwell,720,722,Victoria line to Stockwell
Brixton,Stockwell,722,724,Victoria line to Stockwell
Brixton,Stockwell,723,725,Victoria line to Stockwell
Brixton,Stockwell,725,727,Victoria line to Stockwell
Brixton,Stockwell,727,729,Victoria line to Stockwell
Brixton,Stockwell,728,730,Victoria line to Stockwell
Brixton,Stockwell,730,732,Victoria line to Stockwell
Brixton,Stockwell,732,734,Victoria line to Stockwell
Brixton,Stockwell,733,735,Victoria line to Stockwell
Brixton,Stockwell,735,737,Victoria line to Stockwell
Brixton,Stockwell,737,739,Victoria line to Stockwell
Brixton,Stockwell,738,740,Victoria line to Stockwell
Brixton,Stockwell,740,742,Victoria line to Stockwell
Brixton,Stockwell,742,744,Victoria line to Stockwell
Brixton,Stockwell,743,745,Victoria line to Stockwell
Brixton,Stockwell,745,747,Victoria line to Stockwell
Brixton,Stockwell,747,749,Victoria line to Stockwell
Brixton,Stockwell,748,750,Victoria line to Stockwell
Brixton,Stockwell,750,752,Victoria line to Stockwell
Brixton,Stockwell,752,754,Victoria line to Stockwell
Brixton,Stockwell,753,755,Victoria line to Stockwell
Brixton,Stockwell,755,757,Victoria line to Stockwell
Brixton,Stockwell,757,759,Victoria line to Stockwell
