node1,node2,tstart,tend,line
Euston,Warren Street,531,532,Victoria line to Warren Street
Euston,Warren Street,536,537,Victoria line to Warren Street
Euston,Warren Street,541,542,Victoria line to Warren Street
Euston,Warren Street,541,542,Victoria line to Warren Street
Euston,Warren Street,546,547,Victoria line to Warren Street
Euston,Warren Street,550,551,Victoria line to Warren Street
Euston,Warren Street,554,555,Victoria line to Warren Street
Euston,Warren Street,554,555,Victoria line to Warren Street
Euston,Warren Street,557,558,Victoria line to Warren Street
Euston,Warren Street,601,602,Victoria line to Warren Street
Euston,Warren Street,604,605,Victoria line to Warren Street
Euston,Warren Street,607,608,Victoria line to Warren Street
Euston,Warren Street,610,611,Victoria line to Warren Street
Euston,Warren Street,613,614,Victoria line to Warren Street
Euston,Warren Street,615,616,Victoria line to Warren Street
Euston,Warren Street,618,619,Victoria line to Warren Street
Euston,Warren Street,620,621,Victoria line to Warren Street
Euston,Warren Street,623,624,Victoria line to Warren Street
Euston,Warren Street,625,626,Victoria line to Warren Street
Euston,Warren Street,627,628,Victoria line to Warren Street
Euston,Warren Street,630,631,Victoria line to Warren Street
Euston,Warren Street,632,633,Victoria line to Warren Street
Euston,Warren Street,634,635,Victoria line to Warren Street
Euston,Warren Street,636,637,Victoria line to Warren Street
Euston,Warren Street,639,640,Victoria line to Warren Street
Euston,Warren Street,641,642,Victoria line to Warren Street
Euston,Warren Street,643,644,Victoria line to Warren Street
Euston,Warren Street,645,646,Victoria line to Warren Street
Euston,Warren Street,647,648,Victoria line to Warren Street
Euston,Warren Street,650,651,Victoria line to Warren Street
Euston,Warren Street,652,653,Victoria line to Warren Street
Euston,Warren Street,654,655,Victoria line to Warren Street
Euston,Warren Street,656,657,Victoria line to Warren Street
Euston,Warren Street,658,659,Victoria line to Warren Street
Euston,Warren Street,659,660,Victoria line to Warren Street
Euston,Warren Street,701,702,Victoria line to Warren Street
Euston,Warren Street,703,704,Victoria line to Warren Street
Euston,Warren Street,704,705,Victoria line to Warren Street
Euston,Warren Street,706,707,Victoria line to Warren Street
Euston,Warren Street,708,709,Victoria line to Warren Street
Euston,Warren Street,710,711,Victoria line to Warren Street
Euston,Warren Street,711,712,Victoria line to Warren Street
Euston,Warren Street,713,714,Victoria line to Warren Street
Euston,Warren Street,715,716,Victoria line to Warren Street
Euston,Warren Street,716,717,Victoria line to Warren Street
Euston,Warren Street,718,719,Victoria line to Warren Street
Euston,Warren Street,720,721,Victoria line to Warren Street
Euston,Warren Street,721,722,Victoria line to Warren Street
Euston,Warren Street,723,724,Victoria line to Warren Street
Euston,Warren Street,725,726,Victoria line to Warren Street
Euston,Warren Street,726,727,Victoria line to Warren Street
Euston,Warren Street,728,729,Victoria line to Warren Street
Euston,Warren Street,730,731,Victoria line to Warren Street
Euston,Warren Street,731,732,Victoria line to Warren Street
Euston,Warren Street,733,734,Victoria line to Warren Street
Euston,Warren Street,735,736,Victoria line to Warren Street
Euston,Warren Street,736,737,Victoria line to Warren Street
Euston,Warren Street,738,739,Victoria line to Warren Street
Euston,Warren Street,740,741,Victoria line to Warren Street
Euston,Warren Street,741,742,Victoria line to Warren Street
Euston,Warren Street,743,744,Victoria line to Warren Street
Euston,Warren Street,745,746,Victoria line to Warren Street
Euston,Warren Street,746,747,Victoria line to Warren Street
Euston,Warren Street,748,749,Victoria line to Warren Street
Euston,Warren Street,750,751,Victoria line to Warren Street
Euston,Warren Street,751,752,Victoria line to Warren Street
Euston,Warren Street,753,754,Victoria line to Warren Street
Euston,Warren Street,755,756,Victoria line to Warren Street
Euston,Warren Street,756,757,Victoria line to Warren Street
Euston,Warren Street,758,759,Victoria line to Warren Street
Euston,Warren Street,800,801,Victoria line to Warren Street
Euston,Warren Street,801,802,Victoria line to Warren Street
Euston,Warren Street,803,804,Victoria line to Warren Street
Euston,Warren Street,805,806,Victoria line to Warren Street
Euston,Warren Street,806,807,Victoria line to Warren Street
Euston,Warren Street,808,809,Victoria line to Warren Street
Euston,Warren Street,810,811,Victoria line to Warren Street
Euston,Warren Street,811,812,Victoria line to Warren Street
Euston,Warren Street,813,814,Victoria line to Warren Street
Euston,Warren Street,815,816,Victoria line to Warren Street
Euston,Warren Street,816,817,Victoria line to Warren Street
Euston,Warren Street,818,819,Victoria line to Warren Street
Euston,Warren Street,820,821,Victoria line to Warren Street
Euston,Warren Street,821,822,Victoria line to Warren Street
Euston,Warren Street,823,824,Victoria line to Warren Street
Euston,Warren Street,825,826,Victoria line to Warren Street
Euston,Warren Street,826,827,Victoria line to Warren Street
Euston,Warren Street,828,829,Victoria line to Warren Street
Euston,Warren Street,830,831,Victoria line to Warren Street
Euston,Warren Street,831,832,Victoria line to Warren Street
Euston,Warren Street,833,834,Victoria line to Warren Street
Euston,Warren Street,835,836,Victoria line to Warren Street
Euston,Warren Street,836,837,Victoria line to Warren Street
Euston,Warren Street,838,839,Victoria line to Warren Street
Euston,Warren Street,840,841,Victoria line to Warren Street
Euston,Warren Street,841,842,Victoria line to Warren Street
Euston,Warren Street,843,844,Victoria line to Warren Street
Euston,Warren Street,845,846,Victoria line to Warren Street
Euston,Warren Street,846,847,Victoria line to Warren Street
Euston,Warren Street,848,849,Victoria line to Warren Street
Euston,Warren Street,850,851,Victoria line to Warren Street
Euston,Warren Street,851,852,Victoria line to Warren Street
Euston,Warren Street,853,854,Victoria line to Warren Street
Euston,Warren Street,855,856,Victoria line to Warren Street
Euston,Warren Street,856,857,Victoria line to Warren Street
