node1,node2,tstart,tend,line
Oxford Circus,Green Park,534,535,Victoria line to Green Park
Oxford Circus,Green Park,539,540,Victoria line to Green Park
Oxford Circus,Green Park,544,545,Victoria line to Green Park
Oxford Circus,Green Park,544,545,Victoria line to Green Park
Oxford Circus,Green Park,549,550,Victoria line to Green Park
Oxford Circus,Green Park,553,554,Victoria line to Green Park
Oxford Circus,Green Park,557,558,Victoria line to Green Park
Oxford Circus,Green Park,557,558,Victoria line to Green Park
Oxford Circus,Green Park,601,602,Victoria line to Green Park
Oxford Circus,Green Park,604,605,Victoria line to Green Park
Oxford Circus,Green Park,607,608,Victoria line to Green Park
Oxford Circus,Green Park,610,611,Victoria line to Green Park
Oxford Circus,Green Park,613,614,Victoria line to Green Park
Oxford Circus,Green Park,616,617,Victoria line to Green Park
Oxford Circus,Green Park,618,619,Victoria line to Green Park
Oxford Circus,Green Park,621,622,Victoria line to Green Park
Oxford Circus,Green Park,624,625,Victoria line to Green Park
Oxford Circus,Green Park,626,627,Victoria line to Green Park
Oxford Circus,Green Park,628,629,Victoria line to Green Park
Oxford Circus,Green Park,631,632,Victoria line to Green Park
Oxford Circus,Green Park,633,634,Victoria line to Green Park
Oxford Circus,Green Park,635,636,Victoria line to Green Park
Oxford Circus,Green Park,637,638,Victoria line to Green Park
Oxford Circus,Green Park,640,641,Victoria line to Green Park
Oxford Circus,Green Park,642,643,Victoria line to Green Park
Oxford Circus,Green Park,644,645,Victoria line to Green Park
Oxford Circus,Green Park,646,647,Victoria line to Green Park
Oxford Circus,Green Park,648,649,Victoria line to Green Park
Oxford Circus,Green Park,651,652,Victoria line to Green Park
Oxford Circus,Green Park,653,654,Victoria line to Green Park
Oxford Circus,Green Park,655,656,Victoria line to Green Park
Oxford Circus,Green Park,657,658,Victoria line to Green Park
Oxford Circus,Green Park,659,660,Victoria line to Green Park
Oxford Circus,Green Park,701,702,Victoria line to Green Park
Oxford Circus,Green Park,703,704,Victoria line to Green Park
Oxford Circus,Green Park,704,705,Victoria line to Green Park
Oxford Circus,Green Park,706,707,Victoria line to Green Park
Oxford Circus,Green Park,708,709,Victoria line to Green Park
Oxford Circus,Green Park,710,711,Victoria line to Green Park
Oxford Circus,Green Park,711,712,Victoria line to Green Park
Oxford Circus,Green Park,713,714,Victoria line to Green Park
Oxford Circus,Green Park,715,716,Victoria line to Green Park
Oxford Circus,Green Park,716,717,Victoria line to Green Park
Oxford Circus,Green Park,718,719,Victoria line to Green Park
Oxford Circus,Green Park,720,721,Victoria line to Green Park
Oxford Circus,Green Park,721,722,Victoria line to Green Park
Oxford Circus,Green Park,723,724,Victoria line to Green Park
Oxford Circus,Green Park,725,726,Victoria line to Green Park
Oxford Circus,Green Park,726,727,Victoria line to Green Park
Oxford Circus,Green Park,728,729,Victoria line to Green Park
Oxford Circus,Green Park,730,731,Victoria line to Green Park
Oxford Circus,Green Park,731,732,Victoria line to Green Park
Oxford Circus,Green Park,733,734,Victoria line to Green Park
Oxford Circus,Green Park,735,736,Victoria line to Green Park
Oxford Circus,Green Park,736,737,Victoria line to Green Park
Oxford Circus,Green Park,738,739,Victoria line to Green Park
Oxford Circus,Green Park,740,741,Victoria line to Green Park
Oxford Circus,Green Park,741,742,Victoria line to Green Park
Oxford Circus,Green Park,743,744,Victoria line to Green Park
Oxford Circus,Green Park,745,746,Victoria line to Green Park
Oxford Circus,Green Park,746,747,Victoria line to Green Park
Oxford Circus,Green Park,748,749,Victoria line to Green Park
Oxford Circus,Green Park,750,751,Victoria line to Green Park
Oxford Circus,Green Park,751,752,Victoria line to Green Park
Oxford Circus,Green Park,753,754,Victoria line to Green Park
Oxford Circus,Green Park,755,756,Victoria line to Green Park
Oxford Circus,Green Park,756,757,Victoria line to Green Park
Oxford Circus,Green Park,758,759,Victoria line to Green Park
Oxford Circus,Green Park,800,801,Victoria line to Green Park
Oxford Circus,Green Park,801,802,Victoria line to Green Park
Oxford Circus,Green Park,803,804,Victoria line to Green Park
Oxford Circus,Green Park,805,806,Victoria line to Green Park
