node1,node2,tstart,tend,line
Ruislip,Ruislip Manor,519,520,Metropolitan line to Ruislip Manor
Ruislip,Ruislip Manor,533,534,Metropolitan line to Ruislip Manor
Ruislip,Ruislip Manor,548,549,Metropolitan line to Ruislip Manor
Ruislip,Ruislip Manor,554,555,Metropolitan line to Ruislip Manor
Ruislip,Ruislip Manor,559,560,Metropolitan line to Ruislip Manor
Ruislip,Ruislip Manor,608,609,Metropolitan line to Ruislip Manor
Ruislip,Ruislip Manor,616,617,Metropolitan line to Ruislip Manor
Ruislip,Ruislip Manor,621,622,Metropolitan line to Ruislip Manor
Ruislip,Ruislip Manor,625,626,Metropolitan line to Ruislip Manor
Ruislip,Ruislip Manor,636,637,Metropolitan line to Ruislip Manor
Ruislip,Ruislip Manor,640,641,Metropolitan line to Ruislip Manor
Ruislip,Ruislip Manor,648,649,Metropolitan line to Ruislip Manor
Ruislip,Ruislip Manor,653,654,Metropolitan line to Ruislip Manor
Ruislip,Ruislip Manor,659,660,Metropolitan line to Ruislip Manor
Ruislip,Ruislip Manor,708,709,Metropolitan line to Ruislip Manor
Ruislip,Ruislip Manor,712,713,Metropolitan line to Ruislip Manor
Ruislip,Ruislip Manor,718,719,Metropolitan line to Ruislip Manor
Ruislip,Ruislip Manor,722,723,Metropolitan line to Ruislip Manor
Ruislip,Ruislip Manor,729,730,Metropolitan line to Ruislip Manor
Ruislip,Ruislip Manor,737,738,Metropolitan line to Ruislip Manor
Ruislip,Ruislip Manor,743,744,Metropolitan line to Ruislip Manor
Ruislip,Ruislip Manor,748,749,Metropolitan line to Ruislip Manor
Ruislip,Ruislip Manor,756,757,Metropolitan line to Ruislip Manor
Ruislip,Ruislip Manor,802,803,Metropolitan line to Ruislip Manor
Ruislip,Ruislip Manor,812,813,Metropolitan line to Ruislip Manor
Ruislip,Ruislip Manor,818,819,Metropolitan line to Ruislip Manor
Ruislip,Ruislip Manor,822,823,Metropolitan line to Ruislip Manor
Ruislip,Ruislip Manor,828,829,Metropolitan line to Ruislip Manor
Ruislip,Ruislip Manor,834,835,Metropolitan line to Ruislip Manor
Ruislip,Ruislip Manor,842,843,Metropolitan line to Ruislip Manor
Ruislip,Ruislip Manor,849,850,Metropolitan line to Ruislip Manor
Ruislip,Ruislip Manor,855,856,Metropolitan line to Ruislip Manor
Ruislip,Ruislip Manor,902,903,Metropolitan line to Ruislip Manor
Ruislip,Ruislip Manor,907,908,Metropolitan line to Ruislip Manor
Ruislip,Ruislip Manor,916,917,Metropolitan line to Ruislip Manor
Ruislip,Ruislip Manor,922,923,Metropolitan line to Ruislip Manor
Ruislip,Ruislip Manor,929,930,Metropolitan line to Ruislip Manor
Ruislip,Ruislip Manor,935,936,Metropolitan line to Ruislip Manor
Ruislip,Ruislip Manor,938,939,Metropolitan line to Ruislip Manor
Ruislip,Ruislip Manor,946,947,Metropolitan line to Ruislip Manor
Ruislip,Ruislip Manor,953,954,Metropolitan line to Ruislip Manor
Ruislip,Ruislip Manor,1001,1002,Metropolitan line to Ruislip Manor
